indicator,address_family,score,band,independence_classes,sources,categories,tags,first_seen,last_seen,source_reference
210.79.142.201,v4,94.44,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-100,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.87.69.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL698605
210.95.176.46,v4,84.17,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-29T00:00:00+00:00,2026-08-31T00:00:00+00:00,
210.95.212.115,v4,86.15,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|web-attack,ipsum-level-3,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.95.231.191,v4,83.62,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|turris-smtp,2026-08-25T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.95.231.219,v4,89.82,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3,2026-08-27T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.103.32.90,v4,88.70,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipthreat-level-25|turris-smtp,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.104.221.252,v4,89.72,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.105.171.28,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.118.224.138,v4,92.09,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.123.87.143,v4,92.03,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-smtp,2026-08-16T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.126.93.203,v4,68.15,medium,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.177.143.61,v4,93.98,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-haas|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.179.9.79,v4,85.43,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-29T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.182.73.132,v4,65.56,medium,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|spam-source|ssh-attack|web-attack,turris-haas|turris-smtp,2026-08-29T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.182.73.137,v4,75.80,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-22T00:00:00+00:00,2026-08-31T00:00:00+00:00,
210.185.78.111,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.185.110.56,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-50,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.195.34.89,v4,93.54,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-50,2026-08-19T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.195.219.71,v4,93.54,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-22T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.204.61.75,v4,78.78,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipthreat-level-25|turris-smtp,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.204.63.182,v4,80.21,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.204.108.217,v4,87.96,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.204.125.148,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.204.125.250,v4,82.06,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|turris-smtp,2026-08-23T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.206.24.237,v4,96.08,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-25|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.211.122.97,v4,65.35,medium,blocklist_de|bruteforceblocker,blocklist_de|bruteforceblocker|et_compromised,brute-force|scanning|ssh-attack|web-attack,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.222.26.181,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-50,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.222.70.61,v4,85.24,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-28T00:00:00+00:00,2026-08-31T00:00:00+00:00,
210.222.217.202,v4,93.98,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-haas|turris-smtp,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
210.231.45.148,v4,92.03,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipthreat-level-0|turris-smtp,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.20.70.64,v4,92.14,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3,2026-08-15T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.34.236.142,v4,78.78,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.34.255.22,v4,67.89,medium,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.43.1.202,v4,91.51,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-0|turris-smtp,2026-08-25T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.43.100.45,v4,88.77,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-29T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.43.100.48,v4,82.06,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.43.120.12,v4,59.75,medium,ipthreat|turris,ipthreat|turris_greylist,reported-abuse|scanning|spam-source,ipthreat-level-75|turris-smtp,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
211.43.121.145,v4,90.50,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,,2026-08-27T00:00:00+00:00,2026-08-31T00:00:00+00:00,
211.43.139.142,v4,87.00,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,,2026-08-29T00:00:00+00:00,2026-09-01T00:00:00+00:00,
